-- COMPILE DATE : Ver:10/21, BuildDate:Nov 29 2011 16:28:42, BuildVer:DIST --
[00:08:-100][S][KICKVOTE_RESULT] KickedUser:bwzj13d74dd(UID:1625103) Reason:0, Agreement:5, Disagreement:1
[00:11:-100][178.187.20.160:715:2915339:22]KILL USER : (KillReasoun : 22)(1) 
[00:17:-100][95.59.148.242:44046:1308808:22]KILL USER : (KillReasoun : 22)(1) 
[00:18:-100][83.149.3.92:50764:2943804:22]KILL USER : (KillReasoun : 22)(1) 
[00:21:-100][178.206.123.223:59654:2844650:22]KILL USER : (KillReasoun : 22)(1) 
[00:25:-100][S][KICKVOTE_RESULT] KickedUser:bwzd1032b9b(UID:963494) Reason:0, Agreement:3, Disagreement:1
[00:26:0002][95.110.125.158:24047:-1:7][ERROR]SendErrorMessage(UID:-1, Protocol:46284, BackProtocol:0,timestamp(31), Error:800010d3, KillReason:7, Message:)
[00:27:-100][95.110.125.158:24047:-1:7]KILL USER : (KillReasoun : 7)(16199) 
[00:28:0057][95.73.95.188:35625:-1:7][ERROR]SendErrorMessage(UID:-1, Protocol:43017, BackProtocol:0,timestamp(2), Error:800010d3, KillReason:7, Message:)
[00:29:-100][10.33.61.2:158:-1:2][ERROR]SendErrorMessage(UID:-1, Protocol:0, BackProtocol:0,timestamp(41), Error:800010af, KillReason:2, Message:)
[00:30:-100][95.73.95.188:35625:-1:7]KILL USER : (KillReasoun : 7)(16202) 
[00:30:-100][31.163.68.199:39885:2839653:22]KILL USER : (KillReasoun : 22)(1) 
[00:31:-100][10.33.61.2:158:-1:2]KILL USER : (KillReasoun : 2)(16203) 
[00:46:0027][195.98.185.139:39634:2899740:7]TIMERSYNC Time ( UID:2899740, Time:97, Speed:1.000000 )
[00:46:0027][195.98.185.139:39634:2899740:7][ERROR]SendErrorMessage(UID:2899740, Protocol:3884, BackProtocol:3884,timestamp(0), Error:80001000, KillReason:7, Message:)
[00:47:-100][195.98.185.139:39634:2899740:7]KILL USER : (KillReasoun : 7)(16219) 
[00:47:-100][S][KICKVOTE_RESULT] KickedUser:bwzr13e4eb0(UID:1637534) Reason:0, Agreement:4, Disagreement:1
[00:49:-100][178.167.53.187:31444:2951845:22]KILL USER : (KillReasoun : 22)(1) 
[00:50:-100][109.237.113.90:15630:1393408:22]KILL USER : (KillReasoun : 22)(1) 
[00:50:-100][85.26.231.9:50543:1526097:22]KILL USER : (KillReasoun : 22)(1) 
[00:53:-100][31.163.56.184:15330:2953539:22]KILL USER : (KillReasoun : 22)(1) 
[01:01:-100][188.19.154.172:26607:1291425:22]KILL USER : (KillReasoun : 22)(1) 
[01:17:-100][95.56.158.125:48321:2292340:22]KILL USER : (KillReasoun : 22)(1) 
[01:23:-100][46.241.177.251:37067:2716803:22]KILL USER : (KillReasoun : 22)(1) 
[01:24:-100][94.28.146.112:13066:1278269:22]KILL USER : (KillReasoun : 22)(1) 
[01:29:-100][88.135.237.100:14038:-1:2][ERROR]SendErrorMessage(UID:-1, Protocol:0, BackProtocol:0,timestamp(41), Error:800010af, KillReason:2, Message:)
[01:31:-100][88.135.237.100:14038:-1:2]KILL USER : (KillReasoun : 2)(16263) 
[01:32:-100][188.16.205.254:15366:2886003:22]KILL USER : (KillReasoun : 22)(1) 
[01:41:-100][95.221.172.76:29127:1819611:22]KILL USER : (KillReasoun : 22)(1) 
[01:43:-100][188.18.22.144:28353:2900604:22]KILL USER : (KillReasoun : 22)(1) 
[01:43:-100][83.237.42.229:27841:983078:22]KILL USER : (KillReasoun : 22)(1) 
[01:47:-100][188.233.63.102:31248:2951873:22]KILL USER : (KillReasoun : 22)(1) 
[01:49:-100][188.115.174.239:34009:2894624:22]KILL USER : (KillReasoun : 22)(1) 
[01:52:-100][109.105.130.15:18835:-1:2][ERROR]SendErrorMessage(UID:-1, Protocol:0, BackProtocol:0,timestamp(41), Error:800010af, KillReason:2, Message:)
[01:54:-100][109.105.130.15:18835:-1:2]KILL USER : (KillReasoun : 2)(16286) 
[01:54:-100][95.83.29.33:60411:497814:22]KILL USER : (KillReasoun : 22)(1) 
[02:01:-100][178.121.243.206:45504:2514866:22]KILL USER : (KillReasoun : 22)(1) 
[02:15:-100][92.101.254.100:49669:2925929:22]KILL USER : (KillReasoun : 22)(1) 
[02:20:0006][188.43.47.72:19398:-1:7][ERROR]SendErrorMessage(UID:-1, Protocol:43017, BackProtocol:0,timestamp(0), Error:800010d3, KillReason:7, Message:)
[02:21:-100][95.153.176.217:23390:2664445:22]KILL USER : (KillReasoun : 22)(1) 
[02:22:-100][188.43.47.72:19398:-1:7]KILL USER : (KillReasoun : 7)(16314) 
[02:23:-100][178.234.128.9:16321:2951679:22]KILL USER : (KillReasoun : 22)(1) 
[02:23:-100][188.123.241.150:21038:2456073:22]KILL USER : (KillReasoun : 22)(1) 
[02:24:-100][93.84.27.78:63430:1457328:22]KILL USER : (KillReasoun : 22)(1) 
[02:26:-100][85.26.231.13:63594:1436544:22]KILL USER : (KillReasoun : 22)(1) 
[02:27:-100][82.140.215.87:55823:357572:22]KILL USER : (KillReasoun : 22)(1) 
[02:30:-100][10.33.61.2:2474:-1:2][ERROR]SendErrorMessage(UID:-1, Protocol:0, BackProtocol:0,timestamp(41), Error:800010af, KillReason:2, Message:)
[02:32:-100][10.33.61.2:2474:-1:2]KILL USER : (KillReasoun : 2)(16324) 
[02:32:-100][93.185.192.84:9988:2723114:22]KILL USER : (KillReasoun : 22)(1) 
[02:37:-100][109.169.156.205:11869:1836186:22]KILL USER : (KillReasoun : 22)(1) 
[02:49:-100][188.17.51.94:28866:1152306:22]KILL USER : (KillReasoun : 22)(1) 
[02:55:-100][78.85.181.204:42456:2217005:22]KILL USER : (KillReasoun : 22)(1) 
[02:58:-100][178.204.196.61:45760:2950595:22]KILL USER : (KillReasoun : 22)(1) 
[02:59:-100][90.151.101.235:59087:2953487:22]KILL USER : (KillReasoun : 22)(1) 
[03:06:-100][81.90.225.18:23795:2912656:22]KILL USER : (KillReasoun : 22)(1) 
[03:09:-100][87.119.235.90:58373:1688117:22]KILL USER : (KillReasoun : 22)(1) 
[03:14:-100][85.26.231.121:7773:248884:22]KILL USER : (KillReasoun : 22)(1) 
[03:17:-100][78.24.224.58:16875:2482649:22]KILL USER : (KillReasoun : 22)(1) 
[03:20:0056][95.54.34.23:55333:2947001:0][CheckRespawnHacking()] 2947001, DeathTime : 16369 / RespawnTime : 6 / NowTime : 16374 / nick : GIsHOk
[03:33:-100][94.241.17.188:19205:2852551:22]KILL USER : (KillReasoun : 22)(1) 
[03:33:-100][95.54.34.23:55333:2947001:22]KILL USER : (KillReasoun : 22)(1) 
[03:36:-100][46.241.177.251:44747:2716803:22]KILL USER : (KillReasoun : 22)(1) 
[03:36:0039][77.247.235.185:51655:-1:7][ERROR]SendErrorMessage(UID:-1, Protocol:43017, BackProtocol:0,timestamp(12), Error:800010d3, KillReason:7, Message:)
[03:37:-100][188.255.89.105:53199:2123497:22]KILL USER : (KillReasoun : 22)(1) 
[03:38:-100][77.247.235.185:51655:-1:7]KILL USER : (KillReasoun : 7)(16390) 
[03:48:-100][178.126.159.95:14018:2444710:22]KILL USER : (KillReasoun : 22)(1) 
[03:49:0032][95.129.166.54:26055:-1:7][ERROR]SendErrorMessage(UID:-1, Protocol:43017, BackProtocol:0,timestamp(1), Error:800010d3, KillReason:7, Message:)
[03:50:-100][31.163.56.184:19938:2953539:22]KILL USER : (KillReasoun : 22)(1) 
[03:51:-100][95.129.166.54:26055:-1:7]KILL USER : (KillReasoun : 7)(16403) 
[03:52:-100][109.105.130.15:12999:-1:2][ERROR]SendErrorMessage(UID:-1, Protocol:0, BackProtocol:0,timestamp(41), Error:800010af, KillReason:2, Message:)
[03:54:-100][109.105.130.15:12999:-1:2]KILL USER : (KillReasoun : 2)(16406) 
[03:56:-100][95.32.174.132:6405:2359587:22]KILL USER : (KillReasoun : 22)(1) 
[03:58:-100][178.89.133.233:61173:1521689:22]KILL USER : (KillReasoun : 22)(1) 
[04:01:-100][31.181.220.56:33985:2952813:22]KILL USER : (KillReasoun : 22)(1) 
[04:01:-100][178.179.195.20:30148:1057944:22]KILL USER : (KillReasoun : 22)(1) 
[04:09:-100][46.241.28.10:63723:2953335:22]KILL USER : (KillReasoun : 22)(1) 
[04:16:-100][92.127.253.20:6104:2363989:22]KILL USER : (KillReasoun : 22)(1) 
[04:17:-100][10.33.39.66:22981:-1:2][ERROR]SendErrorMessage(UID:-1, Protocol:0, BackProtocol:0,timestamp(41), Error:800010af, KillReason:2, Message:)
[04:17:-100][109.105.131.90:55502:-1:2][ERROR]SendErrorMessage(UID:-1, Protocol:0, BackProtocol:0,timestamp(41), Error:800010af, KillReason:2, Message:)
[04:19:-100][10.33.39.66:22981:-1:2]KILL USER : (KillReasoun : 2)(16431) 
[04:19:-100][109.105.131.90:55502:-1:2]KILL USER : (KillReasoun : 2)(16431) 
[04:23:-100][S][KICKVOTE_RESULT] KickedUser:stkvostok(UID:253011) Reason:0, Agreement:8, Disagreement:3
[04:30:-100][10.33.61.2:24008:-1:2][ERROR]SendErrorMessage(UID:-1, Protocol:0, BackProtocol:0,timestamp(41), Error:800010af, KillReason:2, Message:)
[04:32:-100][10.33.61.2:24008:-1:2]KILL USER : (KillReasoun : 2)(16444) 
[04:38:-100][178.121.243.206:54208:2514866:22]KILL USER : (KillReasoun : 22)(1) 
[04:38:-100][109.188.239.136:28097:2920341:22]KILL USER : (KillReasoun : 22)(1) 
[04:45:-100][S][KICKVOTE_RESULT] KickedUser:bwzr12deca3(UID:1413477) Reason:0, Agreement:8, Disagreement:2
[05:04:-100][2.135.30.210:40389:2114048:22]KILL USER : (KillReasoun : 22)(1) 
[05:07:-100][213.87.74.230:32840:1963293:22]KILL USER : (KillReasoun : 22)(1) 
[05:07:-100][188.123.241.150:54163:2456073:22]KILL USER : (KillReasoun : 22)(1) 
[05:15:-100][46.146.148.96:45837:2952628:22]KILL USER : (KillReasoun : 22)(1) 
[05:16:-100][79.137.204.168:55501:1451879:22]KILL USER : (KillReasoun : 22)(1) 
[05:29:-100][95.37.214.241:29961:2716178:22]KILL USER : (KillReasoun : 22)(1) 
[05:31:-100][46.249.0.9:48805:1038800:22]KILL USER : (KillReasoun : 22)(1) 
[05:34:-100][77.91.198.25:733:1106946:22]KILL USER : (KillReasoun : 22)(1) 
[05:38:0019][178.94.2.61:52741:-1:7][ERROR]SendErrorMessage(UID:-1, Protocol:43017, BackProtocol:0,timestamp(4), Error:800010d3, KillReason:7, Message:)
[05:40:-100][31.181.113.217:50510:2354749:22]KILL USER : (KillReasoun : 22)(1) 
[05:40:-100][178.94.2.61:52741:-1:7]KILL USER : (KillReasoun : 7)(16512) 
[05:45:-100][178.125.233.6:5834:2932390:22]KILL USER : (KillReasoun : 22)(1) 
