[MAI|[00:00]]-- COMPILE DATE : Ver:3/18, BuildDate:Mar 18 2011 18:11:26 --

[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R09|[00:00]][ERROR] GetRelayTarget IPPORT Slot:11, Recv-720514350,49780, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:1, Recv-1320801970,50172, Server-0,0
